artist,title,album
American Bach Soloists,"41 Messiah, HWV 56 - Part III- Recitative- Behold, I tell you a mystery (Bass)",George Frideric Handel Messiah
American Bach Soloists,"19 Messiah, HWV 56 - Part II- Behold the Lamb of God (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"42 Messiah, HWV 56 - Part III- Aria- The trumpet shall sound (Bass)",George Frideric Handel Messiah
American Bach Soloists,"20 Messiah, HWV 56 - Part II- Aria- He was despised and rejected of men (Alto)",George Frideric Handel Messiah
American Bach Soloists,"43 Messiah, HWV 56 - Part III- Recitative- Then shall be brought to pass the saying that is written (Allto)- Duet- O Death, where is thy sting (alto, Tenor)",George Frideric Handel Messiah
American Bach Soloists,"21 Messiah, HWV 56 - Part II- Surely, He hath borne our griefs and carried our sorrows (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"44 Messiah, HWV 56 - Part III- But thanks be to God (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"22 Messiah, HWV 56 - Part II- And with His stripes we are healed (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"45 Messiah, HWV 56 - Part III- Aria- If God be for us, who can be against us- (Soprano)",George Frideric Handel Messiah
American Bach Soloists,"23 Messiah, HWV 56 - Part II- All we like sheep have gone astray (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"46 Messiah, HWV 56 - Part III- Worthy is the Lamb that was slain (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"05 Messiah, HWV 56 - Part I- Thus Saith The Lord (Bass)",George Frideric Handel Messiah
American Bach Soloists,"28 Messiah, HWV 56 - Part II- He was Cut Off out of the Land of the Living (Tenor)",George Frideric Handel Messiah
Amy Grant,Hark! The Herald Angels Sing,A Christmas Album
Amy Grant,A Mighty Fortress/Angels We Have Heard On High,A Christmas Album
Amy Grant,Have Yourself A Merry Little Christmas,Home For Christmas
Amy Grant,It's The Most Wonderful Time Of The Year,Home For Christmas
Amy Grant,Joy to the World,Home For Christmas
Amy Grant,Breath Of Heaven (Mary's Song),Home For Christmas
Amy Grant,O Come All Ye Faithful,Home For Christmas
Amy Grant,Grown-Up Christmas List,Home For Christmas
Amy Grant,Rockin' Around The Christmas Tree,Home For Christmas
Amy Grant,Winter Wonderland,Home For Christmas
Amy Grant,I'll Be Home For Christmas,Home For Christmas
Amy Grant,The Night Before Christmas,Home For Christmas
Amy Grant,"Emmanuel, God With Us",Home For Christmas
Amy Grant,"Jesus, Joy Of Man's Desiring",Home For Christmas
Amy Herbster,Beneath The Cross / Old Rugged Cross,Grace To Glory
Andrea Bocelli,The Lord's Prayer,Mi Navidad [CD/DVD]
Andrew Peterson,Is He Worthy,Sing! Live at the Getty Music Worship Conference 2018
Andrew Peterson,Always Good,Resurrection Letters: Prologue - EP
Andy Williams,The First Noel,The Complete Christmas Recordings
Andy Williams,O Holy Night,The Complete Christmas Recordings
Andy Williams,Away In A Manger,The Complete Christmas Recordings
Andy Williams,Sweet Little Jesus Boy,The Complete Christmas Recordings
Andy Williams,Little Drummer Boy,The Complete Christmas Recordings
Andy Williams,Silent Night,The Complete Christmas Recordings
Andy Williams,Some Children See Him,The Complete Christmas Recordings
Andy Williams,Mary's Little Boy Child,The Complete Christmas Recordings
Andy Williams,Joy to the World,The Complete Christmas Recordings
Andy Williams,O Little Town Of Bethlehem,The Complete Christmas Recordings
Andy Williams,It Came Upon A Midnight Clear,The Complete Christmas Recordings
Andy Williams,O Come All Ye Faithful,The Complete Christmas Recordings
Andy Williams,Angels We Have Heard On High,The Complete Christmas Recordings
Andy Williams,Hark! The Herald Angels Sing,The Complete Christmas Recordings
Andy Williams,What Child Is This?,The Complete Christmas Recordings
Angel Tree Childrens Choir,Angels We Have Heard On High,An Angel Tree Christmas
Anthem Lights,Easter Medley,
Anthem Lights,I Need Thee Every Hour,Hymns
Anthem Lights,It Is Well With My Soul,Hymns
Anthem Lights,Doxology,Hymns
Anthem Lights,Hymns Medley- Amazing Grace - Be Thou My Vision - Come Thou Fount - I Need Thee Every Hour,
Anthem Lights,In Christ Alone,
Anthem Lights,Southern Gospel Medley- I'll Fly Away - Swing Low (Sweet Chariot) - I Saw the Light,
Anthem Lights,Good Good Father,
Anthem Lights,"Christmas Hymns Medley- O, Little Town of Bethlehem - Silent Night - Hark! The Herald Angels Sing - Away in a Manger - Joyful, Joyful, We Adore Thee - Joy to the World",
Arthur Fielder,A Christmas Festival,
Arthur Fielder & The Boston Pops,America The Beautiful - Rodeo - No 4 Hoedown (Copeland),
Arthur Fielder & The Boston Pops,"America, The Beautiful - Fanfare For The Common Man (Copeland)",
Atlanta Symphony Orchestra And Chorus,Lully Lullay Thou Little Child,Christmas With Robert Shaw
Atlanta Symphony Orchestra And Chorus,Hallelujah Chorus,Christmas With Robert Shaw
Atlanta Symphony Orchestra And Chorus,Lo How A Rose E'er Blooming,Christmas With Robert Shaw
Avalon,Jesus Born On This Day,Joy
Azusa Pacific Choir,I Need Thee Every Hour,Praise His Holy Names
Azusa Pacific Choir,"Majesty And Glory Of Your Name, The",We Adore Him
Azusa Pacific Choir,Give Me Jesus,We Adore Him
Azusa Pacific Choir and Orchestra,Gesu Bambino (O Come Let Us Adore Him),Celebrate The Child
Azusa Pacific Choir and Orchestra,Hark! The Herald Angels Sing,Celebrate The Child
Azusa Pacific Choir and Orchestra,Still Still Still,Celebrate The Child
Azusa Pacific Choir and Orchestra,Sing We Now Of Christmas,Christmas Love
Azusa Pacific Choir and Orchestra,Gloria In Excelsis,Christmas Love
Azusa Pacific Choir and Orchestra,Come O Come Emmanuel / O Come O Come,Christmas Love
Azusa Pacific Choir and Orchestra,O Come All Ye Faithful,Christmas Love
Azusa Pacific Choir and Orchestra,O Little Town Of Bethlehem,Christmas Love
Azusa Pacific Choir and Orchestra,Silent Night,Christmas Love
Azusa Pacific Choir and Orchestra,Sweet Little Jesus Boy,Celebrate The Child
Azusa Pacific Choir and Orchestra,In His Presence,In His Presence
Azusa Pacific University Choir,A Mighty Fortress Is Our God,Let's Worship
Azusa Pacific University Choir,I Will Arise And Go To Jesus,The Morning Trumpet
Azusa Pacific University Choir,King Emmanuel,Spirituals For Today
Azusa Pacific University Choir,Praise God From Whom All Blessings Flow,Doxology - I Love You Lord
Azusa Pacific University Choir,Doxology,Exaltation
Azusa Pacific University Choir,"Saviours Name, The",The Morning Trumpet
Azusa Pacific University Choir,O Jesus My Saviour My Song In The Night,The Morning Trumpet
Azusa Pacific University Choir,Psalm 121 (I Will Lift Up Mine Eyes),Let's Worship
Azusa Pacific University Choir,We've Come To Seek Your Face O Lord,Let's Worship
Azusa Pacific University Choir,Lord Hear Me Prayin',Spirituals For Today
Azusa Pacific University Choir,Welcome Welcome Dear Redeemer,Adoration III
Azusa Pacific University Choir and Orchestra,All Creatures of Our God and King,This We Believe
Azusa Pacific University Choir and Orchestra,Come Worship God,All Creation Sings
Azusa Pacific University Choir and Orchestra,What Wondrous Love Is This?,Honor and Praise
Azusa Pacific University Choir and Orchestra,Joy to the World,Christmas Joy
Azusa Pacific University Choir and Orchestra,Be Thou My Vision,Our God Is With Us
Azusa Pacific University Choir and Orchestra,All His Benefits,Honor and Praise
Azusa Pacific University Choir and Orchestra,I Stand In Awe,Honor and Praise
Azusa Pacific University Choir-Concertante Ensamble of London,"Mighty Fortress Is Our God, A",Adoration III
Azusa Pacific University Choir-Concertante Ensamble of London,Blessed Jesu Fount Of Mercy,Adoration II
Azusa Pacific University Choir-Concertante Ensamble of London,Praise Ye The Lord Of Hosts,Gloria
Azusa Pacific University Choir-Concertante Ensamble of London,Psalm 148 (Lord Who Hast Made Us For Thine Own),Gloria
Azusa Pacific University Choir-Concertante Ensamble of London,"Lord Is My Shepherd, The",Adoration III
Azusa Pacific University Choir-Concertante Ensamble of London,O Lord Most Holy,Adoration II
Azusa Pacific University Choir-Concertante Ensamble of London,He Watching Over Israel,Adoration II
Azusa Pacific University Choir-Concertante Ensamble of London,O Saviour Hear Me,Adoration II
Azusa Pacific University Choir-Concertante Ensamble of London,Evening Prayer,Adoration II
Babbie Mason,Sweet Little Jesus Boy,
Bach and Madrigal Society And St. Louis Jesuits,I Have Loved You,On Eagle's Wings
Back To The Bible,It Is Well With My Soul,Strong In Thy Strength
Back To The Bible,As For Me And My House,Favorite Hymns For The Heart
Back To The Bible Musicians,Sussex Carol,Good News - A Saviour Is Born
Back To The Bible Quartet,Hallelujah Praise The Lamb,Hallelujah Praise The Lamb
Back To The Bible Quartet,God So Loved The World,Favorite Hymns For The Heart
Back To The Bible Quartet,O Sacred Head Now Wounded,"Hallelujah, Praise The Lamb"
Back To The Bible Quartet,Hiding In Thee,"Hallelujah, Praise The Lamb"
Baylor University A Cappella Choir,Joy to the World,A Season Of Carols
Baylor University A Cappella Choir,Hark! The Herald Angels Sing,A Season Of Carols
Baylor University A Cappella Choir,O Come All Ye Faithful,A Season Of Carols
Baylor University A Cappella Choir,Silent Night,A Season Of Carols
Baylor University A Cappella Choir,The First Noel,A Season Of Carols
Baylor University A Cappella Choir,"God Rest Ye,  Merry Gentlemen",A Season Of Carols
Baylor University A Cappella Choir,O Come O Come Emmanuel,A Season Of Carols
Baylor University A Cappella Choir,Lo How A Rose E'er Blooming,A Season Of Carols
Baylor University A Cappella Choir,We Three Kings,A Season Of Carols
Bebo Norman,Come And Worship,Christmas... From The Realms Of Glory
Ben Parrish,Battle Hymn Of The Republic,A Mighty Fortress
Bethel College Choir,Complete in Thee,Above All Names
Bethel College Choir,Jesus Lover Of My Soul,Above All Names
Bethel Music,It is Well (radio mix),
Bethel Music,No Longer Slaves (Radio Remix),Beautiful Surrender
Bill & Gloria Gaither,There's Something About That Name,Reunion
Bill Gaither,You Must Be Born Again [Live],
Bill Pearce,No Not One,Cherished Favorites
Billy Graham Crusade Choir - London,Tis Marvelous And Wonderful,2000 Voices
Billy Graham Crusade Choir And Guest Artists,Amazing Grace,The Crusade Of A Lifetime - A Musical Tribute To Billy Graham
Billy Graham Crusade Choir And Guest Artists,To God Be The Glory,The Crusade Of A Lifetime - A Musical Tribute To Billy Graham
Billy Graham Crusade Choir And Guest Artists,I Surrender All,The Crusade Of A Lifetime - A Musical Tribute To Billy Graham
Bing Crosby,"God Rest Ye, Merry Gentlemen",White Christmas
Bing Crosby,What Child Is This?,Bing Crosby - Christmas Classics
Bing Crosby,Little Drummer Boy,Bing Crosby - Christmas Classics
Bing Crosby,O Holy Night (Remastered 2006),Bing Crosby - Christmas Classics
Bing Crosby,Hark! The Herald Angels Sing / It Came Upon A Midnight Clear,Bing Crosby - Christmas Classics
Bing Crosby,Silent Night,Merry Christmas
Bing Crosby,The First Noel,Merry Christmas
Bisonettes Female Choir,Jesus Paid It All,The Bisonettes
Bob and Gilly Bennett,Give Thanks,I Love You Lord
Bob and Gilly Bennett,I Love You Lord,I Love You Lord
Bob Bennett,Come And See,Matters Of The Heart
Bob Bennett,All Hail The Power Of Jesus' Name,The View From Here
Bob Jones University Brass,Soldiers Of Christ Arise,My Great Redeemer's Praise
Bob Jones University Men's Chorus,Be Thou My Vision,There's A Fountain Flowing
Bob Krogstad Singers and Orchestra,Festive Prelude - A Reflection On Three French Carols,A Christmas Festival
Bob Krogstad Singers and Orchestra,Let Us Adore Him,A Christmas Festival
Bob Krogstad Singers and Orchestra,Ring Those Bells,A Christmas Festival
Bob Krogstad Singers and Orchestra,Come Little Children,A Christmas Festival
Bob Krogstad Singers and Orchestra,"This, This Is Christ The King",A Christmas Festival
Bob Krogstad Singers and Orchestra,One Small Child,A Christmas Festival
Bob Krogstad Singers and Orchestra,Come And Worship,A Christmas Festival
Bob Krogstad Singers and Orchestra,Repeat The Sounding Joy,A Christmas Festival
Bob Krogstad Singers and Orchestra,We Wish You A Merry Christmas,A Christmas Festival
Bob Krogstad Singers and Orchestra,O Night Divine,A Christmas Festival
Bob Krogstad Singers and Orchestra,Silent Night,A Christmas Festival
Bonnie Knopf,Glorify Thy Name,Here I Am
Bonnie Knopf,I Surrender All,Here I Am
Bonnie Knopf,Here I Am To Worship,Here I Am
Bonnie Knopf,You Are My All in All,Heart Of Worship II
Bonnie Knopf,Hide Me In The Shelter,Heart Of Worship
Bonnie Knopf,My Jesus I Love Thee,Close To His Heart
Bonnie Knopf,Blessed Assurance,Heart Of Worship
Bonnie Knopf,How Deep The Father's Love For Us,Heart Of Worship II
Bonnie Knopf,Turn Your Eyes Upon Jesus,Heart Of Worship II
Bonnie Knopf,He Knows My Name,Here I Am
Bonnie Knopf,Amazing Grace,Here I Am
Bonnie Knopf,We Fall Down,Here I Am
Bonnie Knopf,The Heart Of Worship,Here I Am
Bonnie Knopf,Every Moment,Every Moment
Bonnie Knopf,What Child Is This?,Christmas Treasures
Bonnie Knopf,Hinson Church Candlelight Service ,Christmas Treasures
Bonnie Knopf,O Come All Ye Faithful,Christmas Treasures
Bonnie Knopf,I Am Thankful,
Boston Pops,A Christmas Festival,The Ultimate Pops Christmas Party
Brandon Heath,O Little Town Of Bethlehem,Christmas Is Here
Brandon Heath,Just A Girl,Christmas Is Here
Brandon Heath,In The Bleak Midwinter,Christmas Is Here
Brandon Heath,Away In A Manger,Christmas Is Here
Brandon Heath,Go Tell It On The Mountain,Christmas Is Here
Brandon Heath,Silent Night,Christmas Is Here
Brandon Heath,O Come All Ye Faithful,Christmas Is Here
Brandon Lake,Gratitude (Chosen Performance),
Breath Of Life Chorus And Orchestra,Hallowed Be Thy Name,Choral Gifts
Brentwood Baptist Music Ministry,We Three Kings,Light Of The Stable
Brentwood Baptist Music Ministry,Silent Night,Light Of The Stable
Brentwood Baptist Music Ministry,Christmas In Heaven,Light Of The Stable
Brentwood Baptist Music Ministry,"Sing Noel, Sing Hallelujah",Light Of The Stable
Brentwood Festival Chorale And Orchestra,O Holy Night,Glorious Carols Of Christmas
Brentwood Festival Chorale And Orchestra,Silent Night,Glorious Carols Of Christmas
Brentwood Festival Chorale And Orchestra,We Three Kings,Glorious Carols Of Christmas
Brentwood Festival Chorale And Orchestra,Away In A Manger,Glorious Carols Of Christmas
Brentwood Strings,All Your Anxiety,Great Hymns Treasury (Disc 1)
Brentwood-Benson,Just As I Am,Just_As_I_Am_457573822
Brentwood-Benson,People Need The Lord,PEOPLE NEED THE LORD - anthem
Brian Doerksen,A Mighty Fortress Is Our God,Today
Brian Nhira,Jesus Paid It All,
British Columbia Boys Choir,O Saviour Of The World,Famous Old Treasures
British Columbia Boys Choir,"Lord's My Shepherd, The",Famous Old Treasures
British Columbia Boys Choir,Praise The Lord Hallelujah,Famous Old Treasures
British Columbia Boys Choir,O God Our Help In Ages Past,Famous Old Treasures
British Columbia Boys Choir,Sun Of My Soul,Famous Old Treasures
British Columbia Boys Choir,Praise To The Lord The Almighty,Jubilate 25th Anniversary Tour
British Columbia Boys Choir,God Be With You Till We Meet Again,Jubilate 25th Anniversary Tour
Brooklyn Tabernacle Singers,Nothing As Precious As You Lord,Jesus Be Praised
Bryan and Katie Torwalt,Hark! The Herald Angels Sing,Christmas
Bryan Duncan,The First Noel,
Buryl Red Brass and Strings,Tell Me The Stories Of Jesus,Sounds Of Praise
CAIN,The Commission,Rise Up
California Singing Churchmen,"King Of Love My Shepherd Is, The",Heavenly Concert
"Calvary Presbyterian Church, San Francisco",Jesus Priceless Treasure,Great Hymns Of The Faith
"Calvary Presbyterian Church, San Francisco",Fairest Lord Jesus,Great Hymns Of The Faith
"Calvary Presbyterian Church, San Francisco",I To The Hills Will Lift Mine Eyes,Great Hymns Of The Faith
"Calvary Presbyterian Church, San Francisco",Be Still My Soul,Great Hymns Of The Faith
Calvin Alumni Association,Take My Life And Let It Be,Hymnale
Calvin Alumni Association,Abide With Me,Hymnale
Calvin College Alumni Choir,We Shall Walk Through The Valley,Many Colors Paint The Rainbow
Calvin College Alumni Choir,O For A Closer Walk With God,A Musical Feast
Calvin College Alumni Choir,I Will Not Leave You Comfortless,To Him We Sing
Calvin College Alumni Choir,Come Thou Fount Of Every Blessing,Salvation Is Created
Calvin College Alumni Choir,Precious Lord Take My Hand,He Has The Power
Calvin College Alumni Choir,Thou Who Wast God,He Has The Power
Calvin College Alumni Choir,Not For Tongues Of Heavens Angels,He Has The Power
Calvin College Alumni Choir,At The River,Many Colors Paint The Rainbow
Calvin Nowell,If Not For Grace,
Calvin Nowell,Just As I Am,Songs
Cambridge Singers,Remember Not Lord Our Offences,Hail Gladdening Light - Music Of The English Church
Cambridge Singers,"Lord's Prayer, The",Hail Gladdening Light - Music Of The English Church
Cambridge Singers,Nativity Carol,John Rutter Christmas Album
Cambridge Singers,Angel's Carol,John Rutter Christmas Album
Cambridge Singers And Orchestra,"Bring A Torch, Jeannette, Isabella",The Music Of Christmas
Cambridge Singers And Orchestra,O Little One Sweet,The Music Of Christmas
Cambridge Singers And Orchestra,Good Christian Men Rejoice,Christmas Star
Cambridge Singers And Orchestra,All My Heart This Night Rejoices,Christmas Star
Cambridge Singers And Orchestra,We Three Kings,Christmas Star
Cambridge Singers And Orchestra,How Great Our Joy,Christmas Star
Cambridge Singers And Orchestra,Joy to the World,Christmas Star
Cambridge Singers And Orchestra,Go Tell It On The Mountain,Christmas Star
Cambridge Singers And Orchestra,O Come All Ye Faithful,Christmas Star
Cambridge Singers And Orchestra,Away In A Manger,The Music Of Christmas
Cambridge Singers And Orchestra,I Wonder As I Wander,Christmas Star
Camelback Bible Church Choirs,There Is a Redeemer,Songs Of Triumph
Campmeeting Quartet,Holy Ghost With Light Divine,An Hour Of Old Fashioned Hymns
Carman,"Jesus, Keep Me Near The Cross",I Surrender All
Carole Brewer,We Sing The Mighty Power,Everything Began With You
Caroling Company,Caroling Caroling,A Christmas Present From The Caroling Company
Casting Crowns,Tis So Sweet To Trust In Jesus,Glorious Day: Hymns of Faith
Casting Crowns,Beulah Land,Glorious Day: Hymns of Faith
Casting Crowns,Sweet Hour Of Prayer,Glorious Day: Hymns of Faith
Casting Crowns,Away In A Manger,Peace On Earth
Casting Crowns,I Heard The Bells On Christmas Day,Peace On Earth
Casting Crowns,O Come All Ye Faithful,Peace On Earth
Casting Crowns,Glorious Day (Living He Loved Me),Until The Whole World Hears
Casting Crowns,My Jesus I Love Thee,Glorious Day: Hymns of Faith
Casting Crowns,Scars In Heaven,Scars In Heaven
Casting Crowns,When We All Get To Heaven,Glorious Day: Hymns of Faith
Cathedral Choir & Orchestra,Handel's Messiah Overture,
Cathedral Choir & Orchestra,Handel's Messiah And The Glory,
